"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","40,400.0","39,300.0","41,000.0","38,900.0","154.53K","2.80%"
"05/30/2024","39,300.0","38,800.0","39,800.0","38,500.0","76.57K","-0.51%"
"05/29/2024","39,500.0","39,900.0","39,900.0","38,300.0","107.35K","0.51%"
"05/28/2024","39,300.0","38,600.0","39,500.0","38,200.0","61.63K","1.81%"
"05/27/2024","38,600.0","35,200.0","39,900.0","35,200.0","133.26K","6.04%"
"05/24/2024","36,400.0","36,600.0","36,900.0","35,500.0","101.02K","-0.55%"
"05/23/2024","36,600.0","36,400.0","36,600.0","35,200.0","169.40K","1.95%"
"05/22/2024","35,900.0","36,600.0","36,900.0","35,600.0","284.82K","-1.91%"
"05/21/2024","36,600.0","36,500.0","36,800.0","35,100.0","295.50K","2.81%"
"05/20/2024","35,600.0","34,600.0","36,000.0","34,300.0","246.31K","2.89%"
"05/17/2024","34,600.0","35,000.0","35,200.0","34,100.0","124.17K","1.76%"
"05/16/2024","34,000.0","35,200.0","36,600.0","33,900.0","375.85K","-5.03%"
"05/15/2024","35,800.0","35,700.0","37,100.0","35,700.0","161.34K","0.28%"
"05/14/2024","35,700.0","32,000.0","35,700.0","32,000.0","478.41K","9.85%"
"05/13/2024","32,500.0","29,800.0","33,000.0","29,800.0","397.18K","8.33%"
"05/10/2024","30,000.0","28,700.0","30,000.0","28,700.0","226.61K","4.53%"
"05/09/2024","28,700.0","29,000.0","29,900.0","28,700.0","84.05K","-1.03%"
"05/08/2024","29,000.0","28,100.0","29,000.0","28,100.0","123.02K","2.84%"
"05/07/2024","28,200.0","28,000.0","28,300.0","28,000.0","64.40K","0.00%"
"05/06/2024","28,200.0","27,600.0","28,700.0","27,600.0","64.22K","1.08%"
"05/03/2024","27,900.0","27,000.0","28,200.0","27,000.0","45.36K","-0.36%"
"05/02/2024","28,000.0","28,200.0","28,400.0","27,700.0","82.16K","-1.06%"
"04/26/2024","28,300.0","29,400.0","29,400.0","28,200.0","102.00K","-2.08%"
"04/25/2024","28,900.0","28,700.0","30,000.0","28,400.0","161.23K","0.70%"
"04/24/2024","28,700.0","27,400.0","29,000.0","27,300.0","290.65K","5.13%"
"04/23/2024","27,300.0","27,100.0","27,300.0","27,100.0","32.23K","0.00%"
"04/22/2024","27,300.0","27,000.0","27,800.0","26,900.0","57.15K","0.00%"
"04/19/2024","27,300.0","26,700.0","27,600.0","26,600.0","183.18K","2.25%"
"04/17/2024","26,700.0","26,600.0","27,200.0","26,500.0","104.91K","1.14%"
"04/16/2024","26,400.0","26,300.0","26,800.0","26,100.0","69.69K","-1.49%"
"04/15/2024","26,800.0","26,900.0","27,400.0","26,500.0","51.17K","-0.37%"
"04/12/2024","26,900.0","26,800.0","27,200.0","26,500.0","29.56K","1.51%"
"04/11/2024","26,500.0","26,500.0","27,000.0","26,100.0","56.40K","-0.38%"
"04/10/2024","26,600.0","26,800.0","26,900.0","26,500.0","27.07K","-0.37%"
"04/09/2024","26,700.0","26,300.0","27,200.0","26,300.0","45.80K","-0.74%"
"04/08/2024","26,900.0","26,800.0","27,100.0","26,500.0","23.60K","0.37%"
"04/05/2024","26,800.0","27,200.0","27,300.0","24,600.0","173.17K","-1.83%"
"04/04/2024","27,300.0","27,300.0","27,700.0","26,800.0","155.52K","-0.36%"
"04/03/2024","27,400.0","27,300.0","27,700.0","27,300.0","60.43K","-0.36%"
"04/02/2024","27,500.0","27,500.0","28,000.0","27,200.0","213.87K","0.00%"
"04/01/2024","27,500.0","26,700.0","27,700.0","26,700.0","179.88K","2.23%"
"03/29/2024","26,900.0","26,200.0","28,000.0","26,200.0","144.60K","2.28%"
"03/28/2024","26,300.0","26,000.0","26,500.0","26,000.0","118.11K","0.77%"
"03/27/2024","26,100.0","25,900.0","26,400.0","25,000.0","54.40K","0.77%"
"03/26/2024","25,900.0","26,300.0","26,500.0","25,900.0","51.74K","-0.38%"
"03/25/2024","26,000.0","26,200.0","26,300.0","25,600.0","121.40K","-0.38%"
"03/22/2024","26,100.0","26,000.0","26,400.0","25,700.0","171.05K","0.38%"
"03/21/2024","26,000.0","25,300.0","26,000.0","25,300.0","382.61K","1.96%"
"03/20/2024","25,500.0","25,000.0","25,900.0","25,000.0","37.70K","1.59%"
"03/19/2024","25,100.0","25,500.0","25,800.0","24,000.0","25.83K","-1.95%"
"03/18/2024","25,600.0","25,400.0","25,700.0","24,600.0","137.61K","0.79%"
"03/15/2024","25,400.0","25,400.0","25,700.0","25,300.0","38.89K","-0.39%"
"03/14/2024","25,500.0","25,600.0","25,900.0","25,500.0","73.75K","-0.39%"
"03/13/2024","25,600.0","25,700.0","25,700.0","25,500.0","66.55K","-0.39%"
"03/12/2024","25,700.0","25,000.0","25,800.0","25,000.0","81.77K","0.39%"
"03/11/2024","25,600.0","26,100.0","26,400.0","25,200.0","90.93K","0.39%"
"03/08/2024","25,500.0","26,100.0","26,100.0","25,500.0","95.07K","-2.30%"
"03/07/2024","26,100.0","26,000.0","26,600.0","25,600.0","262.63K","0.38%"
"03/06/2024","26,000.0","29,000.0","29,000.0","25,600.0","200.93K","-1.89%"
"03/05/2024","26,500.0","27,100.0","27,100.0","26,500.0","318.42K","-2.21%"
"03/04/2024","27,100.0","27,600.0","27,900.0","26,800.0","621.59K","-2.52%"
"03/01/2024","27,800.0","27,600.0","27,900.0","27,600.0","255.74K","0.36%"
