"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","61,600","61,500","61,700","61,500","10.51K","0.16%"
"05/30/2024","61,500","61,000","61,500","60,700","5.11K","0.82%"
"05/29/2024","61,000","62,000","62,000","61,000","7.30K","0.00%"
"05/28/2024","61,000","61,000","61,800","60,900","7.90K","0.16%"
"05/27/2024","60,900","61,700","61,700","60,900","12.67K","-0.16%"
"05/24/2024","61,000","62,400","62,400","61,000","22.64K","-2.24%"
"05/23/2024","62,400","62,500","62,500","62,000","10.81K","-0.16%"
"05/22/2024","62,500","61,700","62,500","61,600","18.32K","1.30%"
"05/21/2024","61,700","62,000","62,000","61,700","15.51K","-0.32%"
"05/20/2024","61,900","62,000","62,000","61,600","6.11K","-0.16%"
"05/17/2024","62,000","61,800","62,000","61,500","4.94K","0.32%"
"05/16/2024","61,800","61,800","61,900","61,500","7.88K","0.65%"
"05/15/2024","61,400","61,300","61,700","61,300","6.33K","-0.16%"
"05/14/2024","61,500","61,800","61,800","61,000","14.91K","-0.16%"
"05/13/2024","61,600","61,200","61,600","60,700","12.35K","0.33%"
"05/10/2024","61,400","62,000","62,000","61,000","31.24K","-0.65%"
"05/09/2024","61,800","60,500","62,300","60,000","27.07K","3.00%"
"05/08/2024","60,000","60,000","60,100","59,900","48.60K","0.17%"
"05/07/2024","59,900","64,000","64,000","59,900","193.04K","-6.41%"
"05/06/2024","64,000","65,100","65,100","64,000","46.84K","-1.54%"
"05/03/2024","65,000","66,400","66,400","64,600","34.01K","-2.11%"
"05/02/2024","66,400","66,500","66,600","66,300","11.22K","0.45%"
"04/26/2024","66,100","66,600","68,000","66,000","5.86K","-0.60%"
"04/25/2024","66,500","67,400","67,400","66,500","8.48K","-1.34%"
"04/24/2024","67,400","65,800","67,900","65,800","2.60K","0.45%"
"04/23/2024","67,100","68,000","68,000","67,000","11.10K","-0.59%"
"04/22/2024","67,500","67,500","67,600","67,500","1.34K","0.00%"
"04/19/2024","67,500","67,500","67,500","66,600","10.85K","-0.74%"
"04/17/2024","68,000","68,000","68,300","68,000","8.91K","0.00%"
"04/16/2024","68,000","68,600","68,600","66,900","10.76K","-0.73%"
"04/15/2024","68,500","69,300","69,300","68,000","14.22K","-1.15%"
"04/12/2024","69,300","68,900","69,300","68,900","3.01K","0.58%"
"04/11/2024","68,900","69,500","69,500","68,200","5.36K","-0.86%"
"04/10/2024","69,500","69,500","69,500","69,500","2.30K","0.58%"
"04/09/2024","69,100","70,500","70,500","69,100","2.47K","-1.14%"
"04/08/2024","69,900","70,000","70,000","68,000","6.30K","-0.14%"
"04/05/2024","70,000","70,000","70,000","67,500","10.25K","0.00%"
"04/04/2024","70,000","70,400","70,700","70,000","2.80K","-0.57%"
"04/03/2024","70,400","70,500","70,600","70,400","15.18K","0.14%"
"04/02/2024","70,300","70,500","70,500","70,200","11.01K","-0.28%"
"04/01/2024","70,500","70,500","70,800","70,500","13.83K","0.57%"
"03/29/2024","70,100","70,500","70,500","70,000","8.02K","-0.57%"
"03/28/2024","70,500","70,700","70,900","70,400","7.68K","0.00%"
"03/27/2024","70,500","70,500","70,700","70,100","3.39K","0.00%"
"03/26/2024","70,500","70,800","70,800","70,300","2.97K","-0.70%"
"03/25/2024","71,000","70,800","71,200","70,700","3.99K","0.42%"
"03/22/2024","70,700","71,500","71,500","70,700","12.96K","-1.12%"
"03/21/2024","71,500","71,000","72,500","71,000","13.27K","2.88%"
"03/20/2024","69,500","70,650","70,650","69,021","10.43K","-1.63%"
"03/19/2024","70,650","70,938","70,938","70,555","8.90K","-0.27%"
"03/18/2024","70,842","70,842","71,801","70,650","24.46K","-0.40%"
"03/15/2024","71,130","71,226","71,417","70,842","1.80K","-0.13%"
"03/14/2024","71,226","70,938","71,417","70,938","16.19K","0.41%"
"03/13/2024","70,938","70,938","71,417","70,171","8.26K","0.00%"
"03/12/2024","70,938","70,938","70,938","70,746","6.10K","0.27%"
"03/11/2024","70,746","71,417","71,417","70,267","13.56K","-0.94%"
"03/08/2024","71,417","70,938","71,417","70,938","12.33K","0.68%"
"03/07/2024","70,938","70,459","71,034","70,267","15.87K","0.68%"
"03/06/2024","70,459","70,555","70,938","70,075","8.13K","-0.14%"
"03/05/2024","70,555","70,363","70,746","69,883","20.54K","0.27%"
"03/04/2024","70,363","69,021","70,363","69,021","27.94K","1.94%"
"03/01/2024","69,021","69,500","69,500","68,829","21.90K","-0.14%"
"02/29/2024","69,117","69,979","70,459","69,021","36.81K","-1.23%"
"02/28/2024","69,979","69,979","70,459","69,596","22.93K","1.25%"
"02/27/2024","69,117","69,979","69,979","69,021","6.33K","0.14%"
"02/26/2024","69,021","69,979","69,979","67,775","4.43K","1.41%"
"02/23/2024","68,062","68,541","69,500","68,062","26.92K","-0.70%"
"02/22/2024","68,541","70,363","70,459","68,541","49.25K","-2.72%"
"02/21/2024","70,459","68,541","70,459","68,541","3.93K","2.51%"
"02/20/2024","68,733","69,979","69,979","68,733","15.00K","-1.65%"
"02/19/2024","69,883","69,883","73,814","69,500","15.27K","0.00%"
"02/16/2024","69,883","69,500","69,979","69,500","3.94K","-0.14%"
"02/15/2024","69,979","69,979","69,979","69,021","5.56K","0.00%"
"02/07/2024","69,979","71,226","71,226","69,692","4.21K","0.69%"
"02/06/2024","69,500","69,021","69,500","69,021","4.20K","0.42%"
"02/05/2024","69,212","69,117","69,212","69,117","7.49K","0.14%"
"02/02/2024","69,117","69,117","69,117","69,021","5.56K","0.14%"
"02/01/2024","69,021","68,062","69,404","68,062","2.80K","0.28%"
"01/31/2024","68,829","69,308","69,308","68,829","9.61K","-0.42%"
"01/30/2024","69,117","69,021","69,117","68,350","4.81K","0.14%"
"01/29/2024","69,021","68,446","69,404","68,062","20.59K","0.98%"
"01/26/2024","68,350","68,254","68,350","68,254","2.31K","0.28%"
"01/25/2024","68,158","68,158","68,158","68,158","1.40K","0.00%"
"01/24/2024","68,158","68,062","68,733","68,062","2.60K","0.14%"
"01/23/2024","68,062","67,583","68,541","67,199","2.45K","0.71%"
"01/22/2024","67,583","68,158","68,925","67,583","1.81K","-0.84%"
"01/19/2024","68,158","68,829","69,500","68,062","7.68K","-0.70%"
"01/18/2024","68,637","68,637","68,637","68,637","1.20K","0.14%"
"01/17/2024","68,541","68,541","69,404","68,541","4.98K","0.14%"
"01/16/2024","68,446","70,842","70,842","68,062","3.69K","-3.38%"
"01/15/2024","70,842","66,145","70,842","65,186","15.36K","7.10%"
"01/12/2024","66,145","67,103","67,103","66,145","1.40K","1.17%"
"01/11/2024","65,378","66,145","66,624","65,378","12.44K","-1.73%"
"01/10/2024","66,528","68,062","68,062","66,528","2.80K","0.00%"
"01/09/2024","66,528","66,145","66,624","66,145","3.54K","-0.14%"
"01/08/2024","66,624","68,925","69,021","66,624","4.95K","-3.34%"
"01/05/2024","68,925","68,350","69,021","68,350","12.92K","1.13%"
"01/04/2024","68,158","65,666","69,308","65,666","34.77K","4.87%"
"01/03/2024","64,995","63,269","64,995","63,269","10.90K","2.73%"
"01/02/2024","63,269","63,269","63,269","62,790","3.60K","0.76%"
"12/29/2023","62,790","62,790","62,981","62,790","1.85K","0.00%"
"12/28/2023","62,790","62,598","62,790","62,598","4.14K","0.77%"
"12/27/2023","62,310","62,598","62,598","62,310","5.42K","-0.31%"
"12/26/2023","62,502","62,598","62,598","62,310","7.30K","1.09%"
"12/25/2023","61,831","61,831","61,831","61,639","1.20K","0.47%"
"12/22/2023","61,543","61,831","61,831","61,448","3.22K","-0.47%"
"12/21/2023","61,831","61,735","61,831","61,543","4.70K","0.16%"
