Year,GDP,,,
2000,302,,Mean,1341.857143
2001,315,,Median,1234
2002,340,,Mode,#N/A
2003,389,,Quartile  0,302
2004,453,,Quartile  1,537
2005,537,,Quartile  2,1234
2006,624,,Quartile  3,2009
2007,730,,Quartile  4,2679
2008,1065,,Variance,693745.4286
2009,1132,,Standard Deviation,832.9138182
2010,1234,, Skewness,0.191905264
2011,1443,,Kurtosis ,-1.447291133
2012,1655,,,
2013,1811,,,
2014,1952,,,
2015,2009,,,
2016,2115,,,
2017,2289,,,
2018,2490,,,
2019,2615,,,
2020,2679,,,
,,,,
,,,,
,,,,
"Mean, Median, Mode, Quartile , Variance, Standard Deviation, Skewness, Kurtosis ",,,,
