Date,Price,Open,High,Low,Volume,Change %
28/03/2024,"3,900.00","4,000.00","4,000.00","3,800.00",2.38M,-2.50%
27/03/2024,"4,000.00","4,000.00","4,100.00","3,900.00",1.25M,-2.44%
26/03/2024,"4,100.00","3,800.00","4,100.00","3,800.00",6.96M,7.89%
25/03/2024,"3,800.00","3,900.00","3,900.00","3,800.00",2.04M,0.00%
22/03/2024,"3,800.00","3,800.00","3,900.00","3,800.00",1.26M,0.00%
21/03/2024,"3,800.00","3,900.00","3,900.00","3,800.00",2.32M,-2.56%
20/03/2024,"3,900.00","3,900.00","3,900.00","3,800.00",523.51K,2.63%
19/03/2024,"3,800.00","3,800.00","3,900.00","3,800.00",438.84K,-2.56%
18/03/2024,"3,900.00","3,900.00","3,900.00","3,700.00",2.27M,0.00%
15/03/2024,"3,900.00","3,900.00","3,900.00","3,800.00",455.73K,0.00%
14/03/2024,"3,900.00","3,900.00","4,000.00","3,800.00",1.26M,0.00%
13/03/2024,"3,900.00","3,900.00","3,900.00","3,800.00",480.32K,0.00%
12/3/2024,"3,900.00","3,900.00","3,900.00","3,800.00",463.14K,0.00%
11/3/2024,"3,900.00","3,900.00","4,000.00","3,800.00",744.99K,0.00%
8/3/2024,"3,900.00","4,000.00","4,000.00","3,800.00",1.93M,-2.50%
7/3/2024,"4,000.00","4,000.00","4,000.00","3,900.00",926.72K,2.56%
6/3/2024,"3,900.00","3,900.00","4,100.00","3,900.00",1.80M,-2.50%
5/3/2024,"4,000.00","4,000.00","4,000.00","3,900.00",561.58K,0.00%
4/3/2024,"4,000.00","3,900.00","4,000.00","3,900.00",720.03K,2.56%
1/3/2024,"3,900.00","3,900.00","4,000.00","3,900.00",1.15M,0.00%
29/02/2024,"3,900.00","3,900.00","4,000.00","3,900.00",1.40M,0.00%
28/02/2024,"3,900.00","3,900.00","4,000.00","3,900.00",834.06K,-2.50%
27/02/2024,"4,000.00","4,000.00","4,100.00","3,900.00",1.39M,0.00%
26/02/2024,"4,000.00","4,000.00","4,000.00","3,900.00",989.46K,0.00%
23/02/2024,"4,000.00","4,200.00","4,300.00","4,000.00",2.14M,-4.76%
22/02/2024,"4,200.00","4,100.00","4,300.00","4,000.00",5.24M,2.44%
21/02/2024,"4,100.00","4,000.00","4,100.00","3,900.00",2.02M,2.50%
20/02/2024,"4,000.00","3,900.00","4,100.00","3,900.00",2.39M,0.00%
19/02/2024,"4,000.00","4,000.00","4,000.00","3,900.00",853.06K,2.56%
16/02/2024,"3,900.00","3,900.00","4,000.00","3,900.00",438.71K,0.00%
15/02/2024,"3,900.00","3,800.00","4,000.00","3,800.00",923.79K,2.63%
7/2/2024,"3,800.00","3,900.00","3,900.00","3,800.00",419.09K,-2.56%
6/2/2024,"3,900.00","3,900.00","3,900.00","3,800.00",565.72K,0.00%
5/2/2024,"3,900.00","3,900.00","4,000.00","3,800.00",355.91K,0.00%
2/2/2024,"3,900.00","3,800.00","4,000.00","3,800.00",1.03M,0.00%
1/2/2024,"3,900.00","3,900.00","3,900.00","3,800.00",366.94K,0.00%
31/01/2024,"3,900.00","3,900.00","4,000.00","3,800.00",1.80M,0.00%
30/01/2024,"3,900.00","4,000.00","4,000.00","3,800.00",955.98K,-2.50%
29/01/2024,"4,000.00","4,000.00","4,100.00","3,900.00",1.23M,2.56%
26/01/2024,"3,900.00","3,800.00","4,100.00","3,800.00",3.57M,2.63%
25/01/2024,"3,800.00","3,800.00","3,900.00","3,800.00",221.38K,0.00%
24/01/2024,"3,800.00","3,800.00","3,900.00","3,800.00",361.37K,0.00%
23/01/2024,"3,800.00","3,900.00","3,900.00","3,800.00",242.94K,0.00%
22/01/2024,"3,800.00","3,800.00","3,900.00","3,800.00",1.24M,0.00%
19/01/2024,"3,800.00","3,800.00","3,900.00","3,800.00",308.65K,0.00%
18/01/2024,"3,800.00","3,900.00","3,900.00","3,800.00",367.72K,-2.56%
17/01/2024,"3,900.00","3,900.00","3,900.00","3,800.00",549.39K,0.00%
16/01/2024,"3,900.00","3,800.00","3,900.00","3,700.00",600.88K,2.63%
15/01/2024,"3,800.00","3,800.00","3,900.00","3,800.00",320.94K,0.00%
12/1/2024,"3,800.00","4,000.00","4,000.00","3,700.00",1.11M,-2.56%
11/1/2024,"3,900.00","3,600.00","4,000.00","3,600.00",691.15K,0.00%
10/1/2024,"3,900.00","4,000.00","4,000.00","3,800.00",595.16K,-2.50%
9/1/2024,"4,000.00","4,200.00","4,200.00","3,800.00",830.99K,2.56%
8/1/2024,"3,900.00","3,900.00","4,000.00","3,900.00",1.15M,0.00%
5/1/2024,"3,900.00","3,900.00","4,000.00","3,900.00",400.75K,0.00%
4/1/2024,"3,900.00","4,000.00","4,100.00","3,900.00",1.71M,-2.50%
3/1/2024,"4,000.00","4,000.00","4,000.00","3,900.00",1.19M,2.56%
2/1/2024,"3,900.00","3,900.00","4,000.00","3,800.00",929.39K,0.00%
29/12/2023,"3,900.00","3,900.00","4,000.00","3,900.00",525.28K,0.00%
28/12/2023,"3,900.00","3,900.00","4,000.00","3,800.00",963.83K,0.00%
27/12/2023,"3,900.00","3,900.00","4,000.00","3,800.00",818.90K,0.00%
26/12/2023,"3,900.00","3,900.00","4,000.00","3,800.00",504.23K,0.00%
25/12/2023,"3,900.00","3,900.00","4,000.00","3,800.00",1.14M,0.00%
22/12/2023,"3,900.00","3,900.00","4,000.00","3,800.00",764.03K,0.00%
21/12/2023,"3,900.00","3,900.00","4,000.00","3,800.00",1.90M,0.00%
20/12/2023,"3,900.00","4,000.00","4,100.00","3,800.00",1.36M,-2.50%
19/12/2023,"4,000.00","4,200.00","4,300.00","4,000.00",1.30M,-2.44%
18/12/2023,"4,100.00","3,800.00","4,100.00","3,800.00",8.19M,7.89%
15/12/2023,"3,800.00","3,800.00","3,900.00","3,800.00",302.84K,0.00%
14/12/2023,"3,800.00","3,800.00","3,900.00","3,800.00",479.23K,0.00%
13/12/2023,"3,800.00","3,900.00","3,900.00","3,800.00",860.24K,-2.56%
12/12/2023,"3,900.00","3,800.00","3,900.00","3,800.00",552.10K,2.63%
11/12/2023,"3,800.00","3,800.00","3,900.00","3,800.00",473.02K,-2.56%
8/12/2023,"3,900.00","3,900.00","3,900.00","3,800.00",407.72K,0.00%
7/12/2023,"3,900.00","3,800.00","3,900.00","3,700.00",2.09M,2.63%
6/12/2023,"3,800.00","3,800.00","3,800.00","3,700.00",646.12K,0.00%
5/12/2023,"3,800.00","3,800.00","3,800.00","3,700.00",556.17K,0.00%
4/12/2023,"3,800.00","3,700.00","3,800.00","3,600.00",947.37K,2.70%
1/12/2023,"3,700.00","3,700.00","3,700.00","3,500.00",803.50K,0.00%
30/11/2023,"3,700.00","3,700.00","3,800.00","3,600.00",402.11K,0.00%
29/11/2023,"3,700.00","3,700.00","3,800.00","3,700.00",363.28K,0.00%
28/11/2023,"3,700.00","3,600.00","3,800.00","3,600.00",887.08K,2.78%
27/11/2023,"3,600.00","3,700.00","3,800.00","3,600.00",835.56K,-2.70%
24/11/2023,"3,700.00","3,800.00","3,800.00","3,600.00",1.06M,-2.63%
23/11/2023,"3,800.00","3,800.00","3,900.00","3,700.00",668.97K,0.00%
22/11/2023,"3,800.00","3,800.00","3,900.00","3,700.00",590.51K,0.00%
21/11/2023,"3,800.00","3,800.00","3,900.00","3,700.00",492.94K,2.70%
20/11/2023,"3,700.00","3,800.00","3,800.00","3,700.00",442.33K,-2.63%
17/11/2023,"3,800.00","3,800.00","3,900.00","3,700.00",1.12M,0.00%
16/11/2023,"3,800.00","3,900.00","3,900.00","3,800.00",274.06K,-2.56%
15/11/2023,"3,900.00","3,800.00","4,000.00","3,700.00",913.11K,2.63%
14/11/2023,"3,800.00","3,800.00","3,900.00","3,700.00",774.68K,0.00%
13/11/2023,"3,800.00","3,800.00","3,900.00","3,700.00",587.81K,0.00%
10/11/2023,"3,800.00","4,000.00","4,000.00","3,800.00",597.61K,-5.00%
9/11/2023,"4,000.00","3,800.00","4,000.00","3,700.00",1.53M,5.26%
8/11/2023,"3,800.00","3,600.00","3,800.00","3,600.00",642.16K,5.56%
7/11/2023,"3,600.00","3,700.00","3,700.00","3,600.00",599.28K,-2.70%
