Date,Price,Open,High,Low,Volume,Change %
28/03/2024,"26,300.00","26,000.00","26,500.00","26,000.00",118.11K,0.77%
27/03/2024,"26,100.00","25,900.00","26,400.00","25,000.00",54.40K,0.77%
26/03/2024,"25,900.00","26,300.00","26,500.00","25,900.00",51.74K,-0.38%
25/03/2024,"26,000.00","26,200.00","26,300.00","25,600.00",121.40K,-0.38%
22/03/2024,"26,100.00","26,000.00","26,400.00","25,700.00",171.05K,0.38%
21/03/2024,"26,000.00","25,300.00","26,000.00","25,300.00",382.61K,1.96%
20/03/2024,"25,500.00","25,000.00","25,900.00","25,000.00",37.70K,1.59%
19/03/2024,"25,100.00","25,500.00","25,800.00","24,000.00",25.83K,-1.95%
18/03/2024,"25,600.00","25,400.00","25,700.00","24,600.00",137.61K,0.79%
15/03/2024,"25,400.00","25,400.00","25,700.00","25,300.00",38.89K,-0.39%
14/03/2024,"25,500.00","25,600.00","25,900.00","25,500.00",73.75K,-0.39%
13/03/2024,"25,600.00","25,700.00","25,700.00","25,500.00",66.55K,-0.39%
12/3/2024,"25,700.00","25,000.00","25,800.00","25,000.00",81.77K,0.39%
11/3/2024,"25,600.00","26,100.00","26,400.00","25,200.00",90.93K,0.39%
8/3/2024,"25,500.00","26,100.00","26,100.00","25,500.00",95.07K,-2.30%
7/3/2024,"26,100.00","26,000.00","26,600.00","25,600.00",262.63K,0.38%
6/3/2024,"26,000.00","29,000.00","29,000.00","25,600.00",200.93K,-1.89%
5/3/2024,"26,500.00","27,100.00","27,100.00","26,500.00",318.42K,-2.21%
4/3/2024,"27,100.00","27,600.00","27,900.00","26,800.00",621.59K,-2.52%
1/3/2024,"27,800.00","27,600.00","27,900.00","27,600.00",255.74K,0.36%
29/02/2024,"27,700.00","27,700.00","28,000.00","27,600.00",327.72K,-0.72%
28/02/2024,"27,900.00","27,700.00","28,000.00","27,500.00",168.25K,0.72%
27/02/2024,"27,700.00","26,900.00","27,900.00","26,900.00",263.94K,3.36%
26/02/2024,"26,800.00","26,800.00","27,000.00","26,500.00",51.44K,1.13%
