Date,Price,Open,High,Low,Volume,Change %
3/28/2024,"70,500","70,700","70,900","70,400",7.68K,0.00%
3/27/2024,"70,500","70,500","70,700","70,100",3.39K,0.00%
3/26/2024,"70,500","70,800","70,800","70,300",2.97K,-0.70%
3/25/2024,"71,000","70,800","71,200","70,700",3.99K,0.42%
3/22/2024,"70,700","71,500","71,500","70,700",12.96K,-1.12%
3/21/2024,"71,500","71,000","72,500","71,000",13.27K,-1.38%
3/20/2024,"72,500","73,700","73,700","72,000",10.43K,-1.63%
3/19/2024,"73,700","74,000","74,000","73,600",8.90K,-0.27%
3/18/2024,"73,900","73,900","74,900","73,700",24.46K,-0.40%
3/15/2024,"74,200","74,300","74,500","73,900",1.80K,-0.13%
3/14/2024,"74,300","74,000","74,500","74,000",16.19K,0.41%
3/13/2024,"74,000","74,000","74,500","73,200",8.26K,0.00%
3/12/2024,"74,000","74,000","74,000","73,800",6.10K,0.27%
3/11/2024,"73,800","74,500","74,500","73,300",13.56K,-0.94%
3/8/2024,"74,500","74,000","74,500","74,000",12.33K,0.68%
3/7/2024,"74,000","73,500","74,100","73,300",15.87K,0.68%
3/6/2024,"73,500","73,600","74,000","73,100",8.13K,-0.14%
3/5/2024,"73,600","73,400","73,800","72,900",20.54K,0.27%
3/4/2024,"73,400","72,000","73,400","72,000",27.94K,1.94%
3/1/2024,"72,000","72,500","72,500","71,800",21.90K,-0.14%
2/29/2024,"72,100","73,000","73,500","72,000",36.81K,-1.23%
2/28/2024,"73,000","73,000","73,500","72,600",22.93K,1.25%
2/27/2024,"72,100","73,000","73,000","72,000",6.33K,0.14%
2/26/2024,"72,000","73,000","73,000","70,700",4.43K,1.41%
2/23/2024,"71,000","71,500","72,500","71,000",26.92K,-0.70%
2/22/2024,"71,500","73,400","73,500","71,500",49.25K,-2.72%
2/21/2024,"73,500","71,500","73,500","71,500",3.93K,2.51%
2/20/2024,"71,700","73,000","73,000","71,700",15.00K,-1.65%
2/19/2024,"72,900","72,900","77,000","72,500",15.27K,0.00%
2/16/2024,"72,900","72,500","73,000","72,500",3.94K,-0.14%
2/15/2024,"73,000","73,000","73,000","72,000",5.56K,0.00%
2/7/2024,"73,000","74,300","74,300","72,700",4.21K,0.69%
2/6/2024,"72,500","72,000","72,500","72,000",4.20K,0.42%
