"Date","Price","Open","High","Low","Vol.","Change %"
"04/17/2024","26,700.0","26,600.0","27,200.0","26,500.0","104.91K","1.14%"
"04/16/2024","26,400.0","26,300.0","26,800.0","26,100.0","69.69K","-1.49%"
"04/15/2024","26,800.0","26,900.0","27,400.0","26,500.0","51.17K","-0.37%"
"04/12/2024","26,900.0","26,800.0","27,200.0","26,500.0","29.56K","1.51%"
"04/11/2024","26,500.0","26,500.0","27,000.0","26,100.0","56.40K","-0.38%"
"04/10/2024","26,600.0","26,800.0","26,900.0","26,500.0","27.07K","-0.37%"
"04/09/2024","26,700.0","26,300.0","27,200.0","26,300.0","45.80K","-0.74%"
"04/08/2024","26,900.0","26,800.0","27,100.0","26,500.0","23.60K","0.37%"
"04/05/2024","26,800.0","27,200.0","27,300.0","24,600.0","173.17K","-1.83%"
"04/04/2024","27,300.0","27,300.0","27,700.0","26,800.0","155.52K","-0.36%"
"04/03/2024","27,400.0","27,300.0","27,700.0","27,300.0","60.43K","-0.36%"
"04/02/2024","27,500.0","27,500.0","28,000.0","27,200.0","213.87K","0.00%"
"04/01/2024","27,500.0","26,700.0","27,700.0","26,700.0","179.88K","2.23%"
"03/29/2024","26,900.0","26,200.0","28,000.0","26,200.0","144.60K","2.28%"
"03/28/2024","26,300.0","26,000.0","26,500.0","26,000.0","118.11K","0.77%"
"03/27/2024","26,100.0","25,900.0","26,400.0","25,000.0","54.40K","0.77%"
"03/26/2024","25,900.0","26,300.0","26,500.0","25,900.0","51.74K","-0.38%"
"03/25/2024","26,000.0","26,200.0","26,300.0","25,600.0","121.40K","-0.38%"
"03/22/2024","26,100.0","26,000.0","26,400.0","25,700.0","171.05K","0.38%"
"03/21/2024","26,000.0","25,300.0","26,000.0","25,300.0","382.61K","1.96%"
"03/20/2024","25,500.0","25,000.0","25,900.0","25,000.0","37.70K","1.59%"
"03/19/2024","25,100.0","25,500.0","25,800.0","24,000.0","25.83K","-1.95%"
"03/18/2024","25,600.0","25,400.0","25,700.0","24,600.0","137.61K","0.79%"
"03/15/2024","25,400.0","25,400.0","25,700.0","25,300.0","38.89K","-0.39%"
"03/14/2024","25,500.0","25,600.0","25,900.0","25,500.0","73.75K","-0.39%"
"03/13/2024","25,600.0","25,700.0","25,700.0","25,500.0","66.55K","-0.39%"
"03/12/2024","25,700.0","25,000.0","25,800.0","25,000.0","81.77K","0.39%"
"03/11/2024","25,600.0","26,100.0","26,400.0","25,200.0","90.93K","0.39%"
"03/08/2024","25,500.0","26,100.0","26,100.0","25,500.0","95.07K","-2.30%"
"03/07/2024","26,100.0","26,000.0","26,600.0","25,600.0","262.63K","0.38%"
"03/06/2024","26,000.0","29,000.0","29,000.0","25,600.0","200.93K","-1.89%"
"03/05/2024","26,500.0","27,100.0","27,100.0","26,500.0","318.42K","-2.21%"
"03/04/2024","27,100.0","27,600.0","27,900.0","26,800.0","621.59K","-2.52%"
"03/01/2024","27,800.0","27,600.0","27,900.0","27,600.0","255.74K","0.36%"
"02/29/2024","27,700.0","27,700.0","28,000.0","27,600.0","327.72K","-0.72%"
"02/28/2024","27,900.0","27,700.0","28,000.0","27,500.0","168.25K","0.72%"
"02/27/2024","27,700.0","26,900.0","27,900.0","26,900.0","263.94K","3.36%"
"02/26/2024","26,800.0","26,800.0","27,000.0","26,500.0","51.44K","1.13%"
"02/23/2024","26,500.0","26,800.0","26,800.0","26,200.0","80.32K","-1.49%"
"02/22/2024","26,900.0","27,100.0","29,500.0","26,500.0","70.97K","-1.82%"
"02/21/2024","27,400.0","26,300.0","27,400.0","26,200.0","355.07K","3.01%"
"02/20/2024","26,600.0","26,500.0","26,700.0","26,000.0","212.82K","0.00%"
"02/19/2024","26,600.0","26,900.0","27,000.0","26,200.0","247.41K","-1.12%"
"02/16/2024","26,900.0","27,000.0","27,000.0","26,600.0","33.23K","-0.37%"
"02/15/2024","27,000.0","27,100.0","27,500.0","26,800.0","62.13K","-0.37%"
"02/07/2024","27,100.0","26,700.0","27,100.0","26,600.0","83.62K","0.37%"
"02/06/2024","27,000.0","26,800.0","27,100.0","26,600.0","106.90K","0.37%"
"02/05/2024","26,900.0","27,200.0","27,400.0","26,100.0","87.62K","-0.74%"
"02/02/2024","27,100.0","26,800.0","27,700.0","26,600.0","254.53K","1.12%"
"02/01/2024","26,800.0","25,900.0","26,800.0","25,800.0","205.08K","3.47%"
"01/31/2024","25,900.0","25,600.0","26,000.0","25,600.0","144.03K","0.78%"
"01/30/2024","25,700.0","25,500.0","25,700.0","25,400.0","88.91K","0.78%"
"01/29/2024","25,500.0","25,400.0","25,500.0","25,300.0","85.57K","0.39%"
"01/26/2024","25,400.0","24,800.0","25,400.0","24,800.0","82.81K","1.60%"
"01/25/2024","25,000.0","24,600.0","25,100.0","24,600.0","135.51K","0.40%"
"01/24/2024","24,900.0","24,900.0","25,000.0","24,600.0","122.12K","0.00%"
"01/23/2024","24,900.0","24,500.0","25,200.0","24,500.0","97.95K","0.81%"
"01/22/2024","24,700.0","24,600.0","24,800.0","24,500.0","116.32K","0.82%"
"01/19/2024","24,500.0","24,600.0","24,600.0","24,000.0","277.24K","0.00%"
"01/18/2024","24,500.0","24,300.0","24,700.0","24,200.0","155.99K","0.00%"
"01/17/2024","24,500.0","24,200.0","25,000.0","24,200.0","75.20K","1.24%"
"01/16/2024","24,200.0","23,900.0","24,300.0","23,800.0","86.10K","0.83%"
