"Date","Price","Open","High","Low","Vol.","Change %"
"04/17/2024","68,000","68,000","68,300","68,000","8.91K","0.00%"
"04/16/2024","68,000","68,600","68,600","66,900","10.76K","-0.73%"
"04/15/2024","68,500","69,300","69,300","68,000","14.22K","-1.15%"
"04/12/2024","69,300","68,900","69,300","68,900","3.01K","0.58%"
"04/11/2024","68,900","69,500","69,500","68,200","5.36K","-0.86%"
"04/10/2024","69,500","69,500","69,500","69,500","2.30K","0.58%"
"04/09/2024","69,100","70,500","70,500","69,100","2.47K","-1.14%"
"04/08/2024","69,900","70,000","70,000","68,000","6.30K","-0.14%"
"04/05/2024","70,000","70,000","70,000","67,500","10.25K","0.00%"
"04/04/2024","70,000","70,400","70,700","70,000","2.80K","-0.57%"
"04/03/2024","70,400","70,500","70,600","70,400","15.18K","0.14%"
"04/02/2024","70,300","70,500","70,500","70,200","11.01K","-0.28%"
"04/01/2024","70,500","70,500","70,800","70,500","13.83K","0.57%"
"03/29/2024","70,100","70,500","70,500","70,000","8.02K","-0.57%"
"03/28/2024","70,500","70,700","70,900","70,400","7.68K","0.00%"
"03/27/2024","70,500","70,500","70,700","70,100","3.39K","0.00%"
"03/26/2024","70,500","70,800","70,800","70,300","2.97K","-0.70%"
"03/25/2024","71,000","70,800","71,200","70,700","3.99K","0.42%"
"03/22/2024","70,700","71,500","71,500","70,700","12.96K","-1.12%"
"03/21/2024","71,500","71,000","72,500","71,000","13.27K","-1.38%"
"03/20/2024","72,500","73,700","73,700","72,000","10.43K","-1.63%"
"03/19/2024","73,700","74,000","74,000","73,600","8.90K","-0.27%"
"03/18/2024","73,900","73,900","74,900","73,700","24.46K","-0.40%"
"03/15/2024","74,200","74,300","74,500","73,900","1.80K","-0.13%"
"03/14/2024","74,300","74,000","74,500","74,000","16.19K","0.41%"
"03/13/2024","74,000","74,000","74,500","73,200","8.26K","0.00%"
"03/12/2024","74,000","74,000","74,000","73,800","6.10K","0.27%"
"03/11/2024","73,800","74,500","74,500","73,300","13.56K","-0.94%"
"03/08/2024","74,500","74,000","74,500","74,000","12.33K","0.68%"
"03/07/2024","74,000","73,500","74,100","73,300","15.87K","0.68%"
"03/06/2024","73,500","73,600","74,000","73,100","8.13K","-0.14%"
"03/05/2024","73,600","73,400","73,800","72,900","20.54K","0.27%"
"03/04/2024","73,400","72,000","73,400","72,000","27.94K","1.94%"
"03/01/2024","72,000","72,500","72,500","71,800","21.90K","-0.14%"
"02/29/2024","72,100","73,000","73,500","72,000","36.81K","-1.23%"
"02/28/2024","73,000","73,000","73,500","72,600","22.93K","1.25%"
"02/27/2024","72,100","73,000","73,000","72,000","6.33K","0.14%"
"02/26/2024","72,000","73,000","73,000","70,700","4.43K","1.41%"
"02/23/2024","71,000","71,500","72,500","71,000","26.92K","-0.70%"
"02/22/2024","71,500","73,400","73,500","71,500","49.25K","-2.72%"
"02/21/2024","73,500","71,500","73,500","71,500","3.93K","2.51%"
"02/20/2024","71,700","73,000","73,000","71,700","15.00K","-1.65%"
"02/19/2024","72,900","72,900","77,000","72,500","15.27K","0.00%"
"02/16/2024","72,900","72,500","73,000","72,500","3.94K","-0.14%"
"02/15/2024","73,000","73,000","73,000","72,000","5.56K","0.00%"
"02/07/2024","73,000","74,300","74,300","72,700","4.21K","0.69%"
"02/06/2024","72,500","72,000","72,500","72,000","4.20K","0.42%"
"02/05/2024","72,200","72,100","72,200","72,100","7.49K","0.14%"
"02/02/2024","72,100","72,100","72,100","72,000","5.56K","0.14%"
"02/01/2024","72,000","71,000","72,400","71,000","2.80K","0.28%"
"01/31/2024","71,800","72,300","72,300","71,800","9.61K","-0.42%"
"01/30/2024","72,100","72,000","72,100","71,300","4.81K","0.14%"
"01/29/2024","72,000","71,400","72,400","71,000","20.59K","0.98%"
"01/26/2024","71,300","71,200","71,300","71,200","2.31K","0.28%"
"01/25/2024","71,100","71,100","71,100","71,100","1.40K","0.00%"
"01/24/2024","71,100","71,000","71,700","71,000","2.60K","0.14%"
"01/23/2024","71,000","70,500","71,500","70,100","2.45K","0.71%"
"01/22/2024","70,500","71,100","71,900","70,500","1.81K","-0.84%"
"01/19/2024","71,100","71,800","72,500","71,000","7.68K","-0.70%"
"01/18/2024","71,600","71,600","71,600","71,600","1.20K","0.14%"
"01/17/2024","71,500","71,500","72,400","71,500","4.98K","0.14%"
"01/16/2024","71,400","73,900","73,900","71,000","3.69K","-3.38%"
"01/15/2024","73,900","69,000","73,900","68,000","15.36K","7.10%"
"01/12/2024","69,000","70,000","70,000","69,000","1.40K","1.17%"
"01/11/2024","68,200","69,000","69,500","68,200","12.44K","-1.73%"
"01/10/2024","69,400","71,000","71,000","69,400","2.80K","0.00%"
"01/09/2024","69,400","69,000","69,500","69,000","3.54K","-0.14%"
"01/08/2024","69,500","71,900","72,000","69,500","4.95K","-3.34%"
"01/05/2024","71,900","71,300","72,000","71,300","12.92K","1.13%"
"01/04/2024","71,100","68,500","72,300","68,500","34.77K","4.87%"
